step,elapsed_s,reward,avg_reward_50,loss,epsilon,buffer
0,0.4,51.82648476958273,51.82648476958273,0.0,0.9997503868024299,40.0
1,0.6,33.1199489235878,42.47321684658526,0.0,0.9995008359116082,80.0
2,0.7,19.10034824013709,34.68226064443587,0.0,0.9992513473119823,120.0
3,3.6,36.50263572335244,35.13735441416502,1.8981009999999998,0.9990019209880036,160.0
4,5.8,38.35870962142943,35.7816254556179,1.6859094999999997,0.998752556924127,200.0
5,9.6,31.242615497112276,35.02512379586696,1.5690256666666664,0.9985032551048119,240.0
6,11.1,31.60191289186477,34.536093666723794,1.498633,0.998254015514521,280.0
7,13.3,27.25088526010513,33.62544261589646,1.4344343999999998,0.9980048381377212,320.0
8,15.8,39.707775920629494,34.301257427533464,1.3898016666666666,0.9977557229588833,360.0
9,17.5,23.045512086153025,33.175682893395425,1.3548361428571427,0.9975066699624816,400.0
10,18.6,41.81704701185225,33.961261449618775,1.3308718750000001,0.9972576791329948,440.0
11,19.9,42.14579175114633,34.64330564141273,1.307484111111111,0.9970087504549051,480.0
12,21.4,26.866141664981832,34.04506225861036,1.2894505,0.9967598839126987,520.0
13,23.2,34.740691697597505,34.09475007568087,1.2130652,0.9965110794908656,560.0
14,25.4,15.685543417930607,32.86746963183085,1.1779336,0.9962623371738998,600.0
15,27.6,25.792033398151393,32.42525486722588,1.1558743,0.9960136569462992,640.0
16,30.4,35.046921598911275,32.57947055732502,1.1409958000000002,0.9957650387925653,680.0
17,31.9,34.345417726039884,32.67757873336473,1.1357751999999999,0.9955164826972037,720.0
18,34.2,19.130533558130264,31.964576355720816,1.1291933,0.9952679886447239,760.0
19,35.9,38.48766120076179,32.29073059797286,1.1246226000000001,0.9950195566196391,800.0
20,38.3,37.95157517194746,32.560294625304984,1.123214,0.9947711866064666,840.0
21,41.8,26.766087216138843,32.29692156125198,1.1203688,0.9945228785897271,880.0
22,43.2,45.10002905130387,32.85357840864554,1.1179292,0.9942746325539457,920.0
23,44.6,23.63352573513985,32.46940954724948,1.1125828000000002,0.9940264484836511,960.0
24,45.7,50.29283918738363,33.18234673285484,1.1079488,0.9937783263633758,1000.0
25,47.1,33.752927416563026,33.20429214376669,1.1049558,0.9935302661776564,1040.0
26,48.0,20.07199808955192,32.71791088249948,1.0951962,0.9932822679110331,1080.0
27,49.7,43.24777923822401,33.09397760948964,1.0920712999999997,0.9930343315480502,1120.0
28,52.8,45.60073645710944,33.52524515595929,1.0872348,0.9927864570732556,1160.0
29,55.4,30.91671016216277,33.4382939894994,1.0775800999999998,0.9925386444712013,1200.0
30,57.4,34.52881210446357,33.47347199320793,1.0659262,0.992290893726443,1240.0
31,58.5,38.64538593292236,33.635094303824005,1.0596267,0.9920432048235402,1280.0
32,59.9,47.084152710437756,34.04264152826685,1.050299,0.9917955777470565,1320.0
33,61.6,34.66383014321327,34.060911781647626,1.0426801,0.9915480124815592,1360.0
34,65.3,50.302929502725576,34.52496943082129,1.0331074,0.9913005090116194,1400.0
35,67.5,34.40766755938529,34.52171104550362,1.0241790000000002,0.9910530673218121,1440.0
36,69.6,35.95081061124801,34.56033535809131,1.0205384000000002,0.9908056873967163,1480.0
37,71.0,27.012263959646223,34.361701900237485,1.0073625,0.9905583692209146,1520.0
38,72.3,40.50709789991378,34.51927615663944,1.0006284,0.9903111127789935,1560.0
39,73.5,31.14633321166038,34.434952583014955,0.9990202999999999,0.9900639180555435,1600.0
40,74.7,26.732174080610275,34.247079936614846,0.9918134000000001,0.9898167850351589,1640.0
41,76.1,22.7894102871418,33.97427827829406,0.9844783000000003,0.9895697137024377,1680.0
42,77.9,38.215895110368734,34.07292053020277,0.9828045999999999,0.989322704041982,1720.0
43,79.8,15.148309981822969,33.64281574501232,0.9789947000000001,0.9890757560383974,1760.0
44,81.0,38.56099396944045,33.75210859444406,0.9769823,0.9888288696762936,1800.0
45,82.8,43.44775422811506,33.96288349952386,0.9793356000000002,0.988582044940284,1840.0
46,84.1,37.39691953063011,34.03594809593038,0.9771043,0.9883352818149861,1880.0
47,85.4,43.004739218950256,34.22279791099329,0.9813690000000003,0.9880885802850209,1920.0
48,86.6,14.322272175550466,33.81666473271895,0.980204,0.9878419403350135,1960.0
49,87.7,24.786787527799603,33.636067188620565,0.9803624000000001,0.9875953619495926,2000.0
50,88.9,22.921479934453963,33.05796709191799,0.9823664999999999,0.9873488451133909,2040.0
51,90.3,37.954210084676724,33.15465231513977,0.9838807000000002,0.987102389811045,2080.0
52,91.7,37.6524260342121,33.52569387102126,0.9834736000000003,0.9868559960271952,2120.0
53,92.8,48.46875869631764,33.76501633048057,0.9873289,0.9866096637464856,2160.0
54,94.2,42.56634114980697,33.849168961048115,0.9867989999999999,0.9863633929535643,2200.0
55,95.4,41.75896967053412,34.05949604451656,0.9826819,0.9861171836330831,2240.0
56,96.7,36.681403708457935,34.161085860848424,0.9866085,0.9858710357696976,2280.0
57,97.6,30.916045874357216,34.234389073133464,0.9846756999999999,0.9856249493480673,2320.0
58,98.9,27.440921187400814,33.989051978468886,0.9858038000000002,0.9853789243528557,2360.0
59,100.1,39.668069207668296,34.321503120899195,0.9863867999999999,0.9851329607687298,2400.0
60,101.4,23.922599750757207,33.96361417567729,0.9873772000000001,0.9848870585803606,2440.0
61,102.6,30.715912210941312,33.73501658487319,0.9890076000000001,0.984641217772423,2480.0
62,104.8,43.19861357808111,34.061666023135174,0.9916148,0.9843954383295954,2520.0
63,106.0,44.00417522192,34.24693569362162,0.9898211,0.9841497202365606,2560.0
64,108.2,46.708409529924396,34.8673930158615,0.9962490999999999,0.9839040634780046,2600.0
65,109.5,26.853630572557442,34.88862495934963,0.9965518999999997,0.9836584680386177,2640.0
66,111.3,38.409097254276276,34.95586847245692,0.9939004,0.9834129339030936,2680.0
67,115.3,30.784377115964887,34.884647660255425,0.9930498,0.9831674610561303,2720.0
68,117.2,31.576927912235256,35.13357554733752,0.9941586999999998,0.9829220494824292,2760.0
69,118.8,41.194932311773286,35.18772096955775,0.9968260999999997,0.9826766991666958,2800.0
70,120.5,34.09815866351127,35.11065263938903,0.9987366000000002,0.9824314100936391,2840.0
71,122.5,37.415519982576356,35.32364129471778,0.9990365,0.9821861822479723,2880.0
72,125.7,23.549163198471067,34.892623977661124,0.9991684,0.9819410156144122,2920.0
73,126.7,25.022647106647486,34.92040640509128,1.0012669,0.9816959101776794,2960.0
74,128.6,34.55560783743858,34.605661778092376,1.0002752,0.9814508659224985,3000.0
75,129.9,35.47384622693061,34.640080154299724,1.0032864999999997,0.9812058828335977,3040.0
76,131.0,36.70811000466345,34.972802392601956,1.0052258,0.9809609608957089,3080.0
77,132.5,26.62004987001419,34.640247805237756,1.0086429,0.9807161000935684,3120.0
78,133.8,35.893183380365365,34.44609674370288,1.0123549,0.9804713004119155,3160.0
79,135.1,19.454716521501535,34.21685687088966,1.0156408000000001,0.9802265618354941,3200.0
