[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  220/1500 | Loss 1.18662 | Best 1.16307 | recon 0.6168 | kl_dyn 0.0001 | kl_reg 0.0087
  Epoch  225/1500 | Loss 1.23781 | Best 1.16307 | recon 0.7770 | kl_dyn 0.0002 | kl_reg 0.0110
  Epoch  230/1500 | Loss 1.24771 | Best 1.16307 | recon 0.8037 | kl_dyn 0.0001 | kl_reg 0.0094
  Epoch  235/1500 | Loss 1.25379 | Best 1.16307 | recon 0.8490 | kl_dyn 0.0002 | kl_reg 0.0125
  Epoch  240/1500 | Loss 1.35860 | Best 1.16307 | recon 1.1917 | kl_dyn 0.0011 | kl_reg 0.0132
  Epoch  245/1500 | Loss 1.23668 | Best 1.16307 | recon 0.7877 | kl_dyn 0.0004 | kl_reg 0.0120
  Epoch  250/1500 | Loss 1.22599 | Best 1.16307 | recon 0.7574 | kl_dyn 0.0003 | kl_reg 0.0138
  Epoch  255/1500 | Loss 1.28504 | Best 1.16307 | recon 0.9551 | kl_dyn 0.0003 | kl_reg 0.0138
  Epoch  260/1500 | Loss 1.27212 | Best 1.16307 | recon 0.8782 | kl_dyn 0.0001 | kl_reg 0.0140
  Epoch  265/1500 | Loss 1.25367 | Best 1.15581 | recon 0.8371 | kl_dyn 0.0001 | kl_reg 0.0143
  Epoch  270/1500 | Loss 1.32532 | Best 1.15581 | recon 1.0971 | kl_dyn 0.0002 | kl_reg 0.0145
