step,elapsed_s,reward,avg_reward_50,loss,epsilon,buffer
0,0.5,-286.39309501647944,-286.39309501647944,0.0,0.995,40.0
1,0.5,-310.0034940242766,-298.198294520378,0.0,0.990025,80.0
2,0.5,-379.2644626617432,-325.22035056749974,0.0,0.985074875,120.0
3,0.6,-336.62461853027344,-328.07141755819316,9.039757999999999,0.9801495006250001,160.0
4,0.6,-9.492333602905273,-264.35560076713557,9.0437095,0.9752487531218751,161.0
5,0.7,-277.1562074184418,-266.48903520901996,8.941324,0.9703725093562657,201.0
6,0.7,-323.01718711853033,-274.56448548180714,8.82628675,0.9655206468094844,241.0
7,0.7,-10.114052963256835,-241.50818141698835,8.687799199999999,0.960693043575437,243.0
8,0.7,-247.48220057487472,-242.17196132342016,8.504000333333332,0.9558895783575597,283.0
9,0.8,-262.33307113647453,-244.1880723047256,8.320300142857144,0.9511101304657719,323.0
10,0.8,-385.56797857284545,-257.0407910563729,8.173989125,0.946354579813443,363.0
11,0.8,-10.597559928894047,-236.50385512908295,8.042836,0.9416228069143757,366.0
12,0.9,-342.74345779418945,-244.67613225716806,7.8963096,0.9369146928798039,406.0
13,0.9,-274.25330591201777,-246.78878751822876,7.641694900000001,0.9322301194154049,446.0
14,0.9,7.943152046203615,-229.80665821393328,7.3763067,0.9275689688183278,448.0
15,1.0,-11.420842742919923,-216.15754474699497,7.141036400000001,0.9229311239742362,450.0
16,1.0,-0.9376302719116211,-203.49754977787242,6.907753099999999,0.918316468354365,451.0
17,1.0,-383.759757900238,-213.51211689578162,6.673624799999999,0.9137248860125932,491.0
18,1.0,-309.403384399414,-218.55902571176227,6.5010105,0.9091562615825302,531.0
19,1.1,-347.0104546070098,-224.98159715652463,6.357980199999998,0.9046104802746175,571.0
20,1.1,-24.489823436737062,-215.43436983653478,6.2180263,0.9000874278732445,573.0
21,1.1,-31.4454776763916,-207.07123837471008,6.090319399999999,0.8955869907338783,576.0
22,1.1,4.185262680053711,-197.88617311145947,5.9451632,0.8911090557802088,577.0
23,1.2,-365.0033733844757,-204.84938978950183,5.814536100000001,0.8866535105013078,617.0
24,1.2,-282.37091999053945,-207.95025099754332,5.684671800000001,0.8822202429488013,657.0
25,1.3,-11.982560443878175,-200.41303213009468,5.542193300000001,0.8778091417340573,660.0
26,1.3,10.251119995117186,-192.6106561254572,5.396521899999999,0.8734200960253871,662.0
27,1.3,14.206694030761719,-185.22432219130656,5.2667477,0.8690529955452602,663.0
28,1.3,-375.3124361038208,-191.77908474001396,5.1544338,0.8647077305675338,703.0
29,1.4,-24.632103443145752,-186.207518696785,5.037299299999999,0.8603841919146962,706.0
30,1.4,9.226871395111083,-179.9031835325303,4.914698400000001,0.8560822709551227,709.0
31,1.4,-28.312814998626706,-175.16598451584574,4.7686983,0.851801859600347,711.0
32,1.4,-10.869056415557862,-170.18728972492792,4.6870587,0.8475428503023453,713.0
33,1.4,-10.651059532165528,-165.4950476604349,4.5735138,0.8433051360508336,715.0
34,1.5,-309.99264025688166,-169.62355030604766,4.4730345,0.8390886103705794,755.0
35,1.5,-276.65302658081043,-172.59659131367997,4.4038642,0.8348931673187264,795.0
36,1.5,-10.61701488494873,-168.21876492371425,4.3627132,0.8307187014821328,798.0
37,1.6,-0.39598608016967773,-163.80237600677887,4.3353496,0.8265651079747222,799.0
38,1.6,-7.673690032958985,-159.79907636642452,4.2623823000000005,0.8224322824348486,801.0
39,1.6,0.371354866027832,-155.79481558561324,4.191815500000001,0.8183201210226743,802.0
40,1.6,-243.95847992897026,-157.9451488622805,4.1354394999999995,0.8142285204175609,842.0
41,1.7,-305.2482776641845,-161.45236621470679,4.1279976,0.810157377815473,882.0
42,1.7,-10.03087148666382,-157.9309361047523,4.1177316,0.8061065909263957,884.0
43,1.8,-392.3356319904328,-163.25831555669959,4.1576752,0.8020760579717637,924.0
44,1.8,-265.6296401023863,-165.53323387993706,4.1976533,0.798065677681905,964.0
45,1.8,-352.8891736507416,-169.60618909234586,4.2396153,0.7940753492934954,1004.0
46,1.8,-8.220766353607177,-166.17245669364928,4.2750883,0.7901049725470279,1006.0
47,1.9,-9.674149799346925,-162.91207530001796,4.2929335,0.7861544476842928,1009.0
48,1.9,-349.6181295871734,-166.72240293853136,4.3280253,0.7822236754458713,1049.0
49,1.9,-361.7774082660674,-170.62350304508206,4.374354799999999,0.778312557068642,1089.0
50,2.0,-304.07825522422786,-170.977206249237,4.4551657,0.7744209942832988,1129.0
51,2.0,10.06825952529907,-164.57577117824553,4.5117686,0.7705488893118823,1131.0
52,2.0,-395.55114607810964,-164.90150484657283,4.562983099999999,0.7666961448653229,1171.0
53,2.1,-16.722805500030518,-158.503468585968,4.6160757,0.7628626641409962,1172.0
54,2.1,-307.9711244106293,-164.47304440212247,4.6636545,0.7590483508202912,1212.0
55,2.1,-376.6886670589448,-166.46369359493255,4.6833222999999995,0.7552531090661897,1252.0
56,2.2,11.152119541168211,-159.78030746173854,4.708597,0.7514768435208588,1254.0
57,2.2,-413.69925003051765,-167.8520114030838,4.795737099999999,0.7477194593032545,1294.0
58,2.2,-11.645034885406492,-163.1352680892944,4.8559558,0.7439808620067382,1297.0
59,2.2,-27.091372680664065,-158.4304341201782,4.9210251,0.7402609576967045,1299.0
60,2.3,-408.94956202507024,-158.8980657892227,4.9441702,0.736559652908221,1339.0
61,2.3,5.111463165283201,-158.58388532733915,4.9518415000000005,0.7328768546436799,1341.0
62,2.3,0.8249311447143555,-151.7125175485611,5.001790199999999,0.7292124703704616,1342.0
63,2.3,-366.1948184967041,-153.5513478002548,5.0300305,0.7255664080186093,1382.0
64,2.4,-361.2041990280151,-160.93429482173917,5.058953,0.7219385759785162,1422.0
65,2.4,-280.8101446151733,-166.32208085918424,5.115766499999999,0.7183288830986236,1462.0
66,2.4,-27.43724899291992,-166.85207323360441,5.158777699999999,0.7147372386831305,1464.0
67,2.5,-313.62447032928463,-165.44936748218538,5.177663099999998,0.7111635524897149,1504.0
68,2.5,-305.3387722969054,-165.3680752401352,5.2310272,0.7076077347272662,1544.0
69,2.6,-376.1556822299957,-165.95097979259492,5.3139207,0.7040696960536299,1584.0
70,2.6,32.07720413208008,-164.81963924121857,5.3846706,0.7005493475733617,1585.0
71,2.6,21.21739454269409,-163.76638179683684,5.459502000000001,0.697046600835495,1587.0
