step,elapsed_s,loss,best,recon,kl_dyn,kl_reg,lr
0,0.6,1.0751815195436831,1.0751815195436831,0.73785960715678,1.0002380697815507,0.23149765517424653,0.000499999462655068
1,0.8,1.1030149239080924,1.0751815195436831,1.0233826907696548,1.0,0.13532942402418013,0.0004999978506226287
2,1.0,1.1172033901567813,1.0751815195436831,1.1675819140617494,1.0,0.08904009022646481,0.0004999951639097536
3,1.2,1.1169284582138062,1.0751815195436831,1.1650076144271426,1.0,0.0855370194616693,0.0004999914025282278
4,1.4,1.1068503282688282,1.0751815195436831,1.0650608905211643,1.0,0.06884498314725028,0.0004999865664945505
5,1.6,1.1186215126955952,1.0751815195436831,1.1821069776735924,1.0,0.08216462470591068,0.000499980655829935
6,1.8,1.0865093690377694,1.0751815195436831,0.8586852466342626,1.0,0.12816734211864295,0.0004999736705603083
7,2.0,1.1386248270670574,1.0751815195436831,1.209967911105465,1.0159390767415364,0.33779315181352476,0.0004999656107163112
8,2.2,1.076306559421398,1.0751815195436831,0.7531276127254521,1.0,0.19876054453629036,0.0004999564763332982
9,2.4,1.1064295812889382,1.0751815195436831,1.0560810212735776,1.0,0.1642979973996127,0.0004999462674513371
10,2.6,1.0977885237446539,1.0751815195436831,0.9685413464903831,1.000038743019104,0.17912724172627484,0.0004999349841152092
11,2.9,1.065117217876293,1.065117217876293,0.6405740115377638,1.0,0.2119597202097928,0.0004999226263744085
12,3.1,1.0986451043023004,1.065117217876293,0.9701915568223706,1.0004708237118192,0.231026499359696,0.0004999091942831422
13,3.3,1.1051857250708121,1.065117217876293,1.0430343795429777,1.0000473040121574,0.16699802102865996,0.0004998946879003301
14,3.5,1.0994874327271074,1.065117217876293,0.97438419279125,1.0,0.40979809645149445,0.0004998791072896042
15,3.7,1.0742873483233981,1.065117217876293,0.728157556305329,1.0000190205044217,0.2905148281543343,0.0004998624525193088
16,3.9,1.0975563658608332,1.065117217876293,0.9633087914575029,1.000001103789718,0.2448743352735484,0.0004998447236624997
17,4.1,1.0978522433174982,1.065117217876293,0.9345968245632119,1.0028432210286458,0.309866548412376,0.0004998259207969444
18,4.3,1.0862271388371785,1.065117217876293,0.8515946696753856,1.0,0.21353532484284155,0.0004998060440051215
19,4.5,1.1751123092792652,1.065117217876293,0.8858377297443373,1.085231794251336,0.2593471071234456,0.0004997850933742203
20,4.7,1.0855583217408922,1.065117217876293,0.8439264773494668,1.0001350906160142,0.20611756515723687,0.0004997630689961406
21,4.9,1.1272168159484863,1.065117217876293,1.2591856753936521,1.0,0.2596465481652154,0.000499739970967492
