step,elapsed_s,reward,avg_reward_50,loss,epsilon,buffer
0,0.1,33.275588309764856,33.275588309764856,0.0,0.9997503868024299,40.0
1,0.2,30.877603113651276,32.076595711708066,0.0,0.9995008359116082,80.0
2,0.3,46.88119449615476,37.0114619731903,0.0,0.9992513473119823,120.0
3,0.4,26.62055778503417,34.41373592615127,1.99207,0.9990019209880036,160.0
4,0.5,34.6775323420763,34.46649520933627,1.7736175000000003,0.998752556924127,200.0
5,0.7,31.325931364297862,33.94306790182987,1.6583363333333334,0.9985032551048119,240.0
6,0.8,38.99244507551191,34.66440749807016,1.58337275,0.998254015514521,280.0
7,0.9,46.61720811128614,36.15850757472216,1.5232938000000003,0.9980048381377212,320.0
8,1.0,29.933535450696944,35.46684400538602,1.4742893333333333,0.9977557229588833,360.0
9,1.2,32.537545478343965,35.17391415268182,1.4345524285714284,0.9975066699624816,400.0
10,1.3,11.320113533735277,33.00538682368668,1.40205925,0.9972576791329948,440.0
11,1.4,43.8214163839817,33.90672262037793,1.374589,0.9970087504549051,480.0
12,1.6,39.542281198501584,34.34022712638744,1.3520412000000002,0.9967598839126987,520.0
13,1.7,38.357764565944656,34.62719408635581,1.2684564000000003,0.9965110794908656,560.0
14,1.8,35.18185040354729,34.66417117416857,1.2283817000000004,0.9962623371738998,600.0
15,2.0,33.73784195780754,34.60627559814602,1.1974417000000002,0.9960136569462992,640.0
16,2.1,29.181884640455245,34.28719377710539,1.1687089,0.9957650387925653,680.0
17,2.2,38.57200114727019,34.525238631003425,1.1482766,0.9955164826972037,720.0
18,2.4,36.20934733152389,34.61387593103082,1.1332891999999999,0.9952679886447239,760.0
19,2.5,12.208083832263947,33.493586326092476,1.1221161,0.9950195566196391,800.0
20,2.7,25.483847010135648,33.11217016818976,1.1119048,0.9947711866064666,840.0
21,2.8,31.943663507699963,33.059056229076596,1.1048917,0.9945228785897271,880.0
22,3.0,15.575280934572222,32.298892085837274,1.0975524,0.9942746325539457,920.0
23,3.2,22.287375998497005,31.881745582198096,1.0882449,0.9940264484836511,960.0
24,3.4,22.423390528559686,31.50341138005256,1.0750737,0.9937783263633758,1000.0
25,3.5,32.80576869845389,31.55350204614492,1.0688746,0.9935302661776564,1040.0
26,3.7,42.69448090195654,31.966130892656466,1.0662272,0.9932822679110331,1080.0
27,3.8,43.43497672080993,32.37573252937623,1.0603407999999999,0.9930343315480502,1120.0
28,3.9,36.49621647596359,32.517818182706826,1.0560772999999999,0.9927864570732556,1160.0
29,4.0,28.60804334282875,32.38749235471089,1.0494539999999999,0.9925386444712013,1200.0
